wavelength_nm,reflectance_au
819.47,3.64583
819.79,3.29808
820.11,3.29
820.43,3.83654
820.74,3.32787
821.06,3.05634
821.38,2.72674
821.7,3.25
822.02,3.36
822.34,3.11644
822.65,3.0724
822.97,3.0403
823.29,3.00661
823.61,2.94973
823.93,3.05783
824.24,3.06742
824.56,3.02469
824.88,2.99535
825.2,3
825.51,2.92727
825.83,3.07801
826.15,3.10625
826.47,3.1
826.78,3.06923
827.1,3.15193
827.42,2.81707
827.74,2.98821
828.05,2.96042
828.37,2.95618
828.69,3.17234
829.01,2.94393
829.32,3.04188
829.64,2.95988
829.96,2.87241
830.27,2.83333
830.59,3.10377
830.91,3.08602
831.22,3.40667
831.54,3.13433
831.86,3.20833
832.17,3.4386
832.49,4.08333
832.81,3.29
833.12,3.36275
833.44,3.4386
833.76,3.15574
834.07,3.03333
834.39,3.30556
834.71,3.09009
835.02,2.88889
835.34,3.06923
835.65,3.03333
835.97,3
836.29,3.04839
836.6,2.93125
836.92,2.80921
837.23,3.18657
837.55,3.09167
837.87,3.14286
838.18,3.04348
838.5,3.20833
838.81,4.22059
839.13,3.5
839.44,4.40323
839.76,3.12162
840.08,3.0625
840.39,3.40278
840.71,3.17442
841.02,3.36
841.34,3.3125
841.65,2.98361
841.97,3.57
842.28,2.88235
842.6,3.11111
842.91,3.59211
843.23,3.5
843.54,3.61667
843.86,3.63462
844.17,4.22917
844.49,2.8
844.8,3.65217
845.12,3.19565
845.43,3.02273
845.75,3.30556
846.06,5.13333
846.38,3.30556
846.69,3.71875
847.01,4.95833
847.32,2.66667
847.63,3.68421
847.95,4.95833
848.26,3.5
848.58,3.0625
848.89,4.57692
849.21,3.23077
849.52,4.43333
849.83,5.83333
