USB2G13063_1:101		Capture_1:201		Capture_2:202		Capture_3:203		Capture_4:204		Capture_5:205		
415.58	40.83	415.58	40.22	415.58	45.5	415.58	49	415.58	49.28	415.58	41.17	
415.944	40.83	415.944	44.22	415.944	40.5	415.944	44	415.944	48.28	415.944	51.17	
416.307	43.83	416.307	40.22	416.307	47.5	416.307	46	416.307	46.28	416.307	44.17	
416.671	45.83	416.671	47.22	416.671	51.5	416.671	47	416.671	49.28	416.671	43.17	
417.034	47.83	417.034	45.22	417.034	40.5	417.034	50	417.034	47.28	417.034	53.17	
417.397	44.83	417.397	44.22	417.397	49.5	417.397	53	417.397	49.28	417.397	45.17	
417.761	43.83	417.761	44.22	417.761	47.5	417.761	49	417.761	47.28	417.761	47.17	
418.124	48.83	418.124	49.22	418.124	50.5	418.124	51	418.124	49.28	418.124	46.17	
418.488	50.83	418.488	45.22	418.488	50.5	418.488	49	418.488	48.28	418.488	49.17	
418.851	46.83	418.851	44.22	418.851	52.5	418.851	50	418.851	47.28	418.851	50.17	
419.214	47.83	419.214	51.22	419.214	54.5	419.214	54	419.214	50.28	419.214	50.17	
419.577	50.83	419.577	46.22	419.577	50.5	419.577	51	419.577	53.28	419.577	55.17	
419.941	48.83	419.941	48.22	419.941	51.5	419.941	48	419.941	52.28	419.941	45.17	
420.304	47.83	420.304	50.22	420.304	50.5	420.304	54	420.304	54.28	420.304	53.17	
420.667	50.83	420.667	54.22	420.667	54.5	420.667	57	420.667	53.28	420.667	51.17	
421.03	51.83	421.03	50.22	421.03	54.5	421.03	61	421.03	50.28	421.03	49.17	
421.393	50.83	421.393	51.22	421.393	51.5	421.393	57	421.393	54.28	421.393	52.17	
421.756	47.83	421.756	55.22	421.756	56.5	421.756	53	421.756	55.28	421.756	55.17	
422.119	50.83	422.119	60.22	422.119	58.5	422.119	54	422.119	55.28	422.119	55.17	
422.482	51.83	422.482	52.22	422.482	56.5	422.482	49	422.482	56.28	422.482	52.17	
422.845	61.83	422.845	54.22	422.845	55.5	422.845	58	422.845	62.28	422.845	54.17	
423.208	50.83	423.208	54.22	423.208	62.5	423.208	58	423.208	56.28	423.208	57.17	
423.571	59.83	423.571	56.22	423.571	59.5	423.571	55	423.571	59.28	423.571	51.17	
423.934	53.83	423.934	56.22	423.934	58.5	423.934	60	423.934	58.28	423.934	53.17	
424.297	53.83	424.297	57.22	424.297	54.5	424.297	60	424.297	67.28	424.297	56.17	
424.659	58.83	424.659	60.22	424.659	62.5	424.659	62	424.659	61.28	424.659	61.17	
425.022	62.83	425.022	64.22	425.022	60.5	425.022	69	425.022	61.28	425.022	58.17	
425.385	66.83	425.385	59.22	425.385	61.5	425.385	65	425.385	67.28	425.385	56.17	
425.748	60.83	425.748	61.22	425.748	60.5	425.748	68	425.748	69.28	425.748	65.17	
426.11	61.83	426.11	60.22	426.11	55.5	426.11	62	426.11	69.28	426.11	62.17	
426.473	56.83	426.473	66.22	426.473	63.5	426.473	67	426.473	65.28	426.473	61.17	
426.836	63.83	426.836	63.22	426.836	65.5	426.836	60	426.836	66.28	426.836	58.17	
427.198	65.83	427.198	68.22	427.198	64.5	427.198	68	427.198	61.28	427.198	60.17	
427.561	60.83	427.561	64.22	427.561	68.5	427.561	67	427.561	72.28	427.561	60.17	
427.923	62.83	427.923	65.22	427.923	65.5	427.923	71	427.923	68.28	427.923	66.17	
428.286	62.83	428.286	65.22	428.286	71.5	428.286	69	428.286	65.28	428.286	56.17	
428.648	70.83	428.648	67.22	428.648	61.5	428.648	75	428.648	68.28	428.648	62.17	
429.011	66.83	429.011	68.22	429.011	64.5	429.011	71	429.011	72.28	429.011	71.17	
429.373	66.83	429.373	66.22	429.373	67.5	429.373	72	429.373	69.28	429.373	69.17	
429.735	64.83	429.735	68.22	429.735	65.5	429.735	70	429.735	74.28	429.735	67.17	
430.098	66.83	430.098	62.22	430.098	72.5	430.098	62	430.098	70.28	430.098	67.17	
430.46	74.83	430.46	64.22	430.46	68.5	430.46	67	430.46	70.28	430.46	67.17	
430.822	61.83	430.822	65.22	430.822	70.5	430.822	73	430.822	76.28	430.822	74.17	
431.185	71.83	431.185	63.22	431.185	70.5	431.185	67	431.185	70.28	431.185	71.17	
431.547	71.83	431.547	68.22	431.547	73.5	431.547	73	431.547	79.28	431.547	72.17	
431.909	68.83	431.909	64.22	431.909	68.5	431.909	72	431.909	72.28	431.909	66.17	
432.271	73.83	432.271	70.22	432.271	76.5	432.271	85	432.271	70.28	432.271	63.17	
432.633	72.83	432.633	73.22	432.633	70.5	432.633	77	432.633	79.28	432.633	69.17	
432.995	71.83	432.995	73.22	432.995	75.5	432.995	78	432.995	75.28	432.995	71.17	
433.357	72.83	433.357	71.22	433.357	76.5	433.357	78	433.357	82.28	433.357	75.17	
433.719	72.83	433.719	70.22	433.719	74.5	433.719	71	433.719	75.28	433.719	73.17	
434.081	73.83	434.081	71.22	434.081	80.5	434.081	80	434.081	85.28	434.081	80.17	
434.443	67.83	434.443	76.22	434.443	72.5	434.443	75	434.443	77.28	434.443	78.17	
434.805	67.83	434.805	78.22	434.805	77.5	434.805	79	434.805	81.28	434.805	77.17	
435.167	75.83	435.167	74.22	435.167	78.5	435.167	83	435.167	79.28	435.167	75.17	
435.529	78.83	435.529	81.22	435.529	79.5	435.529	85	435.529	83.28	435.529	78.17	
435.891	77.83	435.891	71.22	435.891	85.5	435.891	85	435.891	86.28	435.891	77.17	
436.253	83.83	436.253	80.22	436.253	80.5	436.253	80	436.253	86.28	436.253	79.17	
436.615	79.83	436.615	78.22	436.615	87.5	436.615	88	436.615	83.28	436.615	77.17	
436.976	77.83	436.976	84.22	436.976	76.5	436.976	89	436.976	90.28	436.976	76.17	
437.338	79.83	437.338	82.22	437.338	84.5	437.338	87	437.338	77.28	437.338	78.17	
437.7	82.83	437.7	86.22	437.7	84.5	437.7	86	437.7	86.28	437.7	82.17	
438.061	81.83	438.061	84.22	438.061	84.5	438.061	85	438.061	77.28	438.061	87.17	
438.423	86.83	438.423	87.22	438.423	82.5	438.423	84	438.423	87.28	438.423	88.17	
438.785	78.83	438.785	90.22	438.785	81.5	438.785	90	438.785	87.28	438.785	88.17	
439.146	88.83	439.146	84.22	439.146	90.5	439.146	91	439.146	95.28	439.146	82.17	
439.508	87.83	439.508	84.22	439.508	91.5	439.508	91	439.508	94.28	439.508	88.17	
439.869	86.83	439.869	88.22	439.869	89.5	439.869	95	439.869	98.28	439.869	87.17	
440.231	83.83	440.231	86.22	440.231	89.5	440.231	92	440.231	93.28	440.231	84.17	
440.592	88.83	440.592	86.22	440.592	94.5	440.592	98	440.592	102.28	440.592	83.17	
440.954	89.83	440.954	91.22	440.954	93.5	440.954	96	440.954	92.28	440.954	86.17	
441.315	97.83	441.315	93.22	441.315	102.5	441.315	96	441.315	94.28	441.315	92.17	
441.676	92.83	441.676	96.22	441.676	86.5	441.676	105	441.676	97.28	441.676	91.17	
442.038	92.83	442.038	90.22	442.038	101.5	442.038	96	442.038	109.28	442.038	90.17	
442.399	97.83	442.399	98.22	442.399	98.5	442.399	95	442.399	105.28	442.399	95.17	
442.76	100.83	442.76	96.22	442.76	101.5	442.76	103	442.76	102.28	442.76	97.17	
443.121	97.83	443.121	96.22	443.121	92.5	443.121	99	443.121	106.28	443.121	94.17	
443.482	97.83	443.482	98.22	443.482	96.5	443.482	100	443.482	103.28	443.482	99.17	
443.844	92.83	443.844	100.22	443.844	103.5	443.844	99	443.844	105.28	443.844	104.17	
444.205	95.83	444.205	98.22	444.205	108.5	444.205	108	444.205	107.28	444.205	101.17	
444.566	99.83	444.566	104.22	444.566	94.5	444.566	99	444.566	108.28	444.566	95.17	
444.927	101.83	444.927	97.22	444.927	102.5	444.927	104	444.927	106.28	444.927	101.17	
445.288	96.83	445.288	102.22	445.288	104.5	445.288	114	445.288	111.28	445.288	104.17	
445.649	100.83	445.649	104.22	445.649	107.5	445.649	116	445.649	109.28	445.649	105.17	
446.01	103.83	446.01	106.22	446.01	111.5	446.01	106	446.01	111.28	446.01	107.17	
446.371	104.83	446.371	110.22	446.371	104.5	446.371	116	446.371	114.28	446.371	101.17	
