USB2G13063_1:101		Capture_2:202		Capture_3:203		Capture_4:204		Capture_5:205		
454.303	260.11	454.303	257.5	454.303	239.11	454.303	283.28	454.303	263.5	
454.664	271.11	454.664	259.5	454.664	245.11	454.664	281.28	454.664	267.5	
455.024	269.11	455.024	270.5	455.024	252.11	455.024	293.28	455.024	278.5	
455.384	276.11	455.384	273.5	455.384	252.11	455.384	301.28	455.384	273.5	
455.744	277.11	455.744	272.5	455.744	253.11	455.744	294.28	455.744	280.5	
456.104	278.11	456.104	271.5	456.104	262.11	456.104	303.28	456.104	278.5	
456.464	271.11	456.464	272.5	456.464	270.11	456.464	303.28	456.464	284.5	
456.824	283.11	456.824	279.5	456.824	263.11	456.824	306.28	456.824	287.5	
457.184	283.11	457.184	280.5	457.184	271.11	457.184	310.28	457.184	294.5	
457.544	288.11	457.544	283.5	457.544	273.11	457.544	307.28	457.544	289.5	
457.904	291.11	457.904	294.5	457.904	280.11	457.904	310.28	457.904	299.5	
458.264	290.11	458.264	294.5	458.264	281.11	458.264	321.28	458.264	309.5	
458.624	294.11	458.624	285.5	458.624	288.11	458.624	315.28	458.624	307.5	
458.984	293.11	458.984	289.5	458.984	290.11	458.984	313.28	458.984	306.5	
459.344	295.11	459.344	297.5	459.344	289.11	459.344	327.28	459.344	308.5	
459.703	306.11	459.703	307.5	459.703	279.11	459.703	335.28	459.703	315.5	
460.063	291.11	460.063	306.5	460.063	282.11	460.063	324.28	460.063	309.5	
460.423	303.11	460.423	306.5	460.423	291.11	460.423	332.28	460.423	306.5	
460.782	308.11	460.782	303.5	460.782	297.11	460.782	329.28	460.782	311.5	
461.142	313.11	461.142	315.5	461.142	305.11	461.142	349.28	461.142	322.5	
461.502	309.11	461.502	318.5	461.502	299.11	461.502	349.28	461.502	323.5	
461.861	311.11	461.861	316.5	461.861	304.11	461.861	358.28	461.861	336.5	
462.221	315.11	462.221	321.5	462.221	307.11	462.221	351.28	462.221	335.5	
