USB2G13063_1:101		Capture_2:202		Capture_3:203		Capture_4:204		Capture_5:205		Capture_6:206		
422.482	27.78	422.482	54.39	422.482	55.17	422.482	64.61	422.482	61.83	422.482	56.5	
422.845	23.78	422.845	54.39	422.845	57.17	422.845	61.61	422.845	61.83	422.845	62.5	
423.208	23.78	423.208	53.39	423.208	59.17	423.208	65.61	423.208	55.83	423.208	60.5	
423.571	18.78	423.571	54.39	423.571	57.17	423.571	57.61	423.571	59.83	423.571	57.5	
423.934	25.78	423.934	61.39	423.934	55.17	423.934	63.61	423.934	60.83	423.934	56.5	
424.297	19.78	424.297	55.39	424.297	60.17	424.297	64.61	424.297	63.83	424.297	62.5	
424.659	22.78	424.659	59.39	424.659	62.17	424.659	60.61	424.659	64.83	424.659	64.5	
425.022	23.78	425.022	54.39	425.022	64.17	425.022	69.61	425.022	68.83	425.022	64.5	
425.385	23.78	425.385	63.39	425.385	63.17	425.385	67.61	425.385	59.83	425.385	66.5	
425.748	21.78	425.748	64.39	425.748	65.17	425.748	65.61	425.748	66.83	425.748	67.5	
426.11	25.78	426.11	60.39	426.11	64.17	426.11	72.61	426.11	65.83	426.11	68.5	
426.473	23.78	426.473	56.39	426.473	65.17	426.473	75.61	426.473	65.83	426.473	68.5	
426.836	19.78	426.836	62.39	426.836	64.17	426.836	69.61	426.836	70.83	426.836	67.5	
427.198	22.78	427.198	62.39	427.198	70.17	427.198	73.61	427.198	66.83	427.198	70.5	
427.561	21.78	427.561	67.39	427.561	67.17	427.561	75.61	427.561	74.83	427.561	67.5	
427.923	24.78	427.923	64.39	427.923	63.17	427.923	77.61	427.923	67.83	427.923	73.5	
428.286	21.78	428.286	59.39	428.286	70.17	428.286	71.61	428.286	69.83	428.286	72.5	
428.648	24.78	428.648	67.39	428.648	65.17	428.648	71.61	428.648	72.83	428.648	74.5	
429.011	26.78	429.011	60.39	429.011	67.17	429.011	69.61	429.011	61.83	429.011	73.5	
429.373	26.78	429.373	70.39	429.373	74.17	429.373	71.61	429.373	76.83	429.373	75.5	
429.735	21.78	429.735	62.39	429.735	73.17	429.735	77.61	429.735	74.83	429.735	76.5	
430.098	25.78	430.098	66.39	430.098	73.17	430.098	75.61	430.098	74.83	430.098	72.5	
430.46	22.78	430.46	67.39	430.46	74.17	430.46	75.61	430.46	72.83	430.46	70.5	
430.822	24.78	430.822	65.39	430.822	72.17	430.822	77.61	430.822	78.83	430.822	83.5	
431.185	27.78	431.185	75.39	431.185	74.17	431.185	80.61	431.185	76.83	431.185	76.5	
431.547	24.78	431.547	69.39	431.547	75.17	431.547	81.61	431.547	77.83	431.547	81.5	
431.909	24.78	431.909	71.39	431.909	75.17	431.909	81.61	431.909	74.83	431.909	77.5	
432.271	27.78	432.271	71.39	432.271	74.17	432.271	79.61	432.271	72.83	432.271	81.5	
432.633	28.78	432.633	76.39	432.633	75.17	432.633	89.61	432.633	73.83	432.633	75.5	
432.995	30.78	432.995	69.39	432.995	74.17	432.995	81.61	432.995	81.83	432.995	83.5	
433.357	25.78	433.357	75.39	433.357	81.17	433.357	87.61	433.357	83.83	433.357	81.5	
433.719	23.78	433.719	73.39	433.719	75.17	433.719	87.61	433.719	80.83	433.719	85.5	
434.081	25.78	434.081	77.39	434.081	82.17	434.081	84.61	434.081	76.83	434.081	88.5	
434.443	22.78	434.443	70.39	434.443	83.17	434.443	82.61	434.443	83.83	434.443	81.5	
434.805	27.78	434.805	77.39	434.805	77.17	434.805	87.61	434.805	79.83	434.805	89.5	
435.167	31.78	435.167	77.39	435.167	81.17	435.167	88.61	435.167	81.83	435.167	84.5	
435.529	24.78	435.529	77.39	435.529	79.17	435.529	85.61	435.529	88.83	435.529	85.5	
435.891	25.78	435.891	83.39	435.891	91.17	435.891	90.61	435.891	86.83	435.891	85.5	
436.253	22.78	436.253	75.39	436.253	89.17	436.253	87.61	436.253	88.83	436.253	88.5	
436.615	27.78	436.615	80.39	436.615	94.17	436.615	91.61	436.615	88.83	436.615	87.5	
436.976	28.78	436.976	82.39	436.976	84.17	436.976	96.61	436.976	90.83	436.976	91.5	
437.338	27.78	437.338	81.39	437.338	87.17	437.338	97.61	437.338	88.83	437.338	100.5	
437.7	26.78	437.7	86.39	437.7	93.17	437.7	91.61	437.7	90.83	437.7	89.5	
438.061	28.78	438.061	79.39	438.061	85.17	438.061	95.61	438.061	91.83	438.061	99.5	
438.423	26.78	438.423	83.39	438.423	90.17	438.423	97.61	438.423	87.83	438.423	103.5	
438.785	27.78	438.785	90.39	438.785	89.17	438.785	100.61	438.785	92.83	438.785	97.5	
439.146	27.78	439.146	88.39	439.146	93.17	439.146	100.61	439.146	93.83	439.146	96.5	
439.508	26.78	439.508	85.39	439.508	92.17	439.508	103.61	439.508	104.83	439.508	90.5	
439.869	28.78	439.869	87.39	439.869	96.17	439.869	106.61	439.869	95.83	439.869	99.5	
440.231	27.78	440.231	84.39	440.231	95.17	440.231	101.61	440.231	94.83	440.231	102.5	
440.592	28.78	440.592	85.39	440.592	97.17	440.592	103.61	440.592	98.83	440.592	103.5	
440.954	21.78	440.954	93.39	440.954	91.17	440.954	110.61	440.954	100.83	440.954	102.5	
441.315	29.78	441.315	93.39	441.315	91.17	441.315	112.61	441.315	104.83	441.315	100.5	
441.676	27.78	441.676	98.39	441.676	95.17	441.676	114.61	441.676	104.83	441.676	107.5	
442.038	29.78	442.038	94.39	442.038	97.17	442.038	109.61	442.038	101.83	442.038	106.5	
